trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.4, 'e': 0.3849999999999999}",25,11,3.3595152741622245,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.4, 'e': 0.3799999999999999}",20,13,14.297045517000312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.3749999999999999}",25,1,-83.82751299458981,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 1}",1
26,False,"{'a': 0.4, 'e': 0.3699999999999999}",25,3,-90.16690590385394,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 2}",1
27,False,"{'a': 0.4, 'e': 0.3649999999999999}",25,0,-34.715650327059336,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.3599999999999999}",25,0,-78.44506911877482,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.4, 'e': 0.35499999999999987}",20,1,-15.956307550100155,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.4, 'e': 0.34999999999999987}",20,0,-70.0060972527891,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.34499999999999986}",30,14,-51.12133313597643,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.4, 'e': 0.33999999999999986}",30,0,-38.89912983902932,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.33499999999999985}",20,14,-73.59871853019517,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
34,False,"{'a': 0.4, 'e': 0.32999999999999985}",30,0,-19.013505660829733,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.32499999999999984}",20,1,6.952280295399535,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.31999999999999984}",20,0,10.619677346910455,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.31499999999999984}",20,8,-62.37027979744604,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.4, 'e': 0.30999999999999983}",35,0,-62.72350108290836,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.3049999999999998}",25,12,19.764676617031114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.2999999999999998}",20,8,-22.982820127662603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.4, 'e': 0.2949999999999998}",30,15,13.583904404649822,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.2899999999999998}",25,15,15.850723399878108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
